"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/Victor/Documents/R/win-library/4.1","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ade4","ade4","C:/Users/Victor/Documents/R/win-library/4.1","1.7-18",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"alr4","alr4","C:/Users/Victor/Documents/R/win-library/4.1","1.0.6",NA,"R (>= 3.0), car, effects",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"AmesHousing","AmesHousing","C:/Users/Victor/Documents/R/win-library/4.1","0.0.4",NA,"R (>= 2.10)","dplyr, magrittr",NA,"covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"antiword","antiword","C:/Users/Victor/Documents/R/win-library/4.1","1.3",NA,NA,"sys (>= 2.0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"anytime","anytime","C:/Users/Victor/Documents/R/win-library/4.1","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"aplpack","aplpack","C:/Users/Victor/Documents/R/win-library/4.1","1.3.5",NA,"R (>= 3.0.0)",NA,NA,"tkrplot, jpeg, png, splines, utils, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"appraiseR","appraiseR","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0",NA,"R (>= 3.5.0)","car, cowplot, dplyr, gdata, ggplot2, gridExtra, gtools,
magrittr, miscTools, plyr, pryr, raster, RcppEigen, readr,
reshape2, sf, sp, stringr, Metrics, ggpmisc, ggpp",NA,"broom, knitr, rmarkdown, scales, stringi, usethis, kableExtra",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"arm","arm","C:/Users/Victor/Documents/R/win-library/4.1","1.12-2",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.1.1"
"asbio","asbio","C:/Users/Victor/Documents/R/win-library/4.1","1.7",NA,"R (>= 3.5.0), tcltk","scatterplot3d, pixmap, plotrix, mvtnorm, deSolve, lattice,
combinat, multcompView, grDevices, graphics, stats, utils,
gWidgets2, gWidgets2tcltk",NA,"akima, boot, tkrplot",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"AsioHeaders","AsioHeaders","C:/Users/Victor/Documents/R/win-library/4.1","1.16.1-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.0"
"askpass","askpass","C:/Users/Victor/Documents/R/win-library/4.1","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"assertthat","assertthat","C:/Users/Victor/Documents/R/win-library/4.1","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"astsa","astsa","C:/Users/Victor/Documents/R/win-library/4.1","1.13",NA,"R (>= 3.5)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"aTSA","aTSA","C:/Users/Victor/Documents/R/win-library/4.1","3.1.2",NA,NA,NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.1"
"audio","audio","C:/Users/Victor/Documents/R/win-library/4.1","0.1-7",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"available","available","C:/Users/Victor/Documents/R/win-library/4.1","1.0.4",NA,"R (>= 3.3.0)","cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, udapi, yesno",NA,"usethis, BiocInstaller, BiocManager, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"babynames","babynames","C:/Users/Victor/Documents/R/win-library/4.1","1.0.1",NA,"R (>= 2.10)","tibble",NA,"testthat (>= 3.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"backports","backports","C:/Users/Victor/Documents/R/win-library/4.1","1.3.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"base64enc","base64enc","C:/Users/Victor/Documents/R/win-library/4.1","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
